DISCOUNT IN %,HOTEL_RATING,NEW PRICE,SAVE IN DOLLARS,DEPARTURE DATE,PACKAGE,DURATION,COUNTRY,CITY,HOTEL,OLD PRICE,GATEWAY,LINK
11,rating:4.5,$2495,$320,2024-04-01,All Inclusive,7,Honduras,Roatan,Infinity Bay Spa and Beach Resort,$2815,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=83&no_hotel=8588&date_dep=20240401&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
36,rating:5,$1295,$740,2024-05-06,All Inclusive,7,Mexico,Riviera Nayarit,Riu Vallarta,$2035,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=156&no_hotel=2372&date_dep=20240506&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
43,rating:4.5,$1425,$1090,2024-05-02,All Inclusive,7,Mexico,Los Cabos,Riu Santa Fe,$2515,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=77&no_hotel=1624&date_dep=20240502&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
28,rating:5,$1505,$610,2024-04-30,All Inclusive,7,Mexico,Riviera Maya,Grand Sunset Princess All Suites and Spa Resort,$2115,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=24&no_hotel=273&date_dep=20240430&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
36,rating:5,$1525,$860,2024-05-20,All Inclusive,7,Mexico,Riviera Nayarit,Riu Palace Pacifico,$2385,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=156&no_hotel=2866&date_dep=20240520&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
31,rating:5,$1545,$700,2024-05-03,All Inclusive,7,Mexico,Riviera Maya,Riu Yucatan,$2245,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=24&no_hotel=836&date_dep=20240503&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
28,rating:5,$1565,$610,2024-03-19,All Inclusive,7,Mexico,Mazatlán,Riu Emerald Bay,$2175,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=69&no_hotel=3282&date_dep=20240319&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
22,rating:5,$1595,$450,2024-06-05,All Inclusive,7,Mexico,Riviera Maya,Riu Playacar,$2045,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=24&no_hotel=1006&date_dep=20240605&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
28,rating:5,$1615,$650,2024-05-03,All Inclusive,7,Mexico,Cancun,Riu Dunamar,$2265,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=2&no_hotel=11264&date_dep=20240503&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
21,rating:5,$1695,$470,2024-06-13,All Inclusive,7,Mexico,Cancun,Riu Cancun,$2165,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=2&no_hotel=1678&date_dep=20240613&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
26,rating:5,$1745,$640,2024-05-03,All Inclusive,7,Mexico,Riviera Maya,Family Club at Grand Riviera Princess All Suites and Spa Resort,$2385,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=24&no_hotel=11705&date_dep=20240503&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
19,rating:5,$1905,$460,2024-05-30,All Inclusive,7,Mexico,Riviera Maya,Royalton Riviera Cancun An Autograph Collection All Inclusive Resort and Casino,$2365,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=24&no_hotel=10652&date_dep=20240530&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
26,rating:5,$2015,$730,2024-05-07,All Inclusive,7,Mexico,Cancun,Planet Hollywood Cancun An Autograph Collection All Inclusive Resort,$2745,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=2&no_hotel=11899&date_dep=20240507&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
30,rating:5,$2065,$890,2024-04-29,All Inclusive,7,Mexico,Riviera Maya,Royalton Splash Riviera Cancun An Autograph Collection All Inclusive Resort,$2955,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=24&no_hotel=12285&date_dep=20240429&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
23,rating:4.5,$2095,$630,2024-04-30,All Inclusive,7,Mexico,Riviera Maya,Iberostar Selection Paraiso Maya Suites,$2725,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=24&no_hotel=1716&date_dep=20240430&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
36,rating:4.5,$1215,$690,2024-05-07,All Inclusive,7,Dominican Republic,Puerto Plata,Iberostar Costa Dorada,$1905,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=8&no_hotel=309&date_dep=20240507&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
38,rating:5,$1235,$760,2024-06-08,All Inclusive,7,Dominican Republic,Punta Cana,Riu Bambu,$1995,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=10&no_hotel=977&date_dep=20240608&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
33,rating:5,$1555,$780,2024-05-08,All Inclusive,7,Dominican Republic,Punta Cana,Royalton Splash Punta Cana An Autograph Collection All Inclusive Resort and Casino,$2335,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=10&no_hotel=12084&date_dep=20240508&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
39,rating:5,$1555,$1030,2024-06-15,All Inclusive,7,Dominican Republic,Punta Cana,Grand Bavaro Princess,$2585,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=10&no_hotel=1164&date_dep=20240615&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
29,rating:5,$1695,$700,2024-06-08,All Inclusive,7,Dominican Republic,Punta Cana,Family Club at Grand Bavaro Princess,$2395,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=10&no_hotel=11949&date_dep=20240608&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
